product_id,product_name,category,subcategory,supplier_id,unit_price,cost_price,weight_kg,is_active,created_at
1,Classic Books Collection 4151,Books,Science and Tech,880,25.11,15.5,24.58,True,2021-05-26 23:59:50
2,Classic Sports Edition 3366,Sports & Outdoors,Camping,277,58.75,21.19,18.63,True,2019-01-01 08:53:51
3,Eco Books Set 433,Books,Fiction,327,29.26,13.44,17.48,True,2019-12-28 16:14:23
4,Eco Toys Collection 2596,Toys & Games,Action Figures,571,31.26,11.63,21.44,True,2023-05-30 15:02:12
5,Ultra Books Edition 4008,Books,Childrens,777,51.17,21.56,0.6,True,2019-05-05 10:30:02
6,Value Clothing Collection 2168,Clothing,Outerwear,120,24.32,15.27,22.23,True,2021-06-25 11:54:46
7,Smart Electronics Set 7858,Electronics,Smart Home,936,90.72,56.14,6.32,True,2023-07-21 12:05:35
8,Smart Home Edition 1974,Home & Garden,Kitchen,585,76.27,27.98,14.8,True,2023-06-05 07:16:12
9,Standard Automotive Pack 9340,Automotive,Car Care,251,102.91,37.12,11.24,True,2022-09-11 14:01:50
10,Classic Sports Model 3671,Sports & Outdoors,Team Sports,115,51.82,28.18,10.89,True,2023-09-05 09:04:14
11,Pro Beauty Line 7719,Beauty & Personal Care,Vitamins,945,12.31,5.18,11.31,True,2023-01-13 12:23:31
12,Value Office Pack 4298,Office Supplies,Printers and Ink,396,39.0,13.68,17.13,True,2023-08-15 11:29:50
13,Smart Electronics Series 6143,Electronics,Tablets,492,86.77,52.05,16.93,False,2022-12-24 20:39:17
14,Pro Toys Pack 2849,Toys & Games,Educational,612,40.89,19.03,9.46,True,2021-03-26 05:34:09
15,Ultra Books Collection 1976,Books,Education,585,26.77,12.72,24.82,True,2023-06-26 14:46:08
16,Elite Office Collection 2783,Office Supplies,Whiteboards,138,20.45,7.83,24.16,True,2021-09-16 00:45:02
17,Value Office Bundle 5196,Office Supplies,Desk Accessories,625,42.08,20.73,4.01,True,2020-09-27 23:33:28
18,Essential Toys Set 1871,Toys & Games,Outdoor Play,586,39.73,23.16,17.23,True,2020-02-03 15:36:14
19,Classic Clothing Set 9581,Clothing,Mens Tops,748,38.17,16.79,12.84,True,2022-07-04 22:14:48
20,Smart Beauty Pack 520,Beauty & Personal Care,Fragrance,785,23.52,14.07,6.85,True,2022-01-19 16:33:54
21,Standard Electronics Bundle 5211,Electronics,Headphones,742,148.52,80.95,20.23,True,2022-12-14 18:18:08
22,Essential Beauty Bundle 9533,Beauty & Personal Care,Hair Care,260,34.13,16.2,5.69,True,2021-10-31 02:48:30
23,Elite Food Pack 6249,Food & Grocery,Snacks,576,28.04,14.06,16.79,False,2021-02-24 16:07:31
24,Essential Home Line 6598,Home & Garden,Furniture,656,31.75,12.18,18.43,True,2020-10-09 15:13:04
25,Standard Books Collection 3349,Books,Business,305,50.23,31.05,10.13,False,2022-02-05 01:56:20
26,Premium Home Bundle 1345,Home & Garden,Bedding,496,22.81,14.1,1.04,True,2022-01-03 10:37:02
27,Premium Home Bundle 9800,Home & Garden,Furniture,612,25.89,12.03,8.07,True,2021-04-11 15:48:48
28,Classic Clothing Bundle 4078,Clothing,Jeans,155,15.79,8.65,20.25,True,2023-12-05 06:11:47
29,Elite Beauty Set 1769,Beauty & Personal Care,Makeup,6,152.95,88.62,16.86,True,2022-09-06 11:32:43
30,Premium Food Series 5041,Food & Grocery,Snacks,616,51.15,30.57,12.18,True,2023-05-25 15:32:35
31,Pro Food Bundle 9937,Food & Grocery,Organic,521,41.49,23.54,17.82,True,2022-02-13 07:18:26
32,Standard Electronics Range 2083,Electronics,Cameras,826,151.16,75.63,5.48,True,2022-01-12 15:20:10
33,Premium Automotive Bundle 9372,Automotive,Car Electronics,764,54.0,30.21,23.15,True,2021-12-11 09:53:07
34,Elite Toys Range 772,Toys & Games,Educational,544,68.73,43.59,21.0,True,2021-07-16 21:49:52
35,Ultra Clothing Set 5788,Clothing,Dresses,422,50.37,24.75,0.91,False,2020-02-14 00:58:14
36,Eco Electronics Edition 8828,Electronics,Headphones,30,134.98,50.55,16.77,True,2023-08-16 11:54:12
37,Smart Clothing Line 7118,Clothing,Jeans,974,271.68,160.99,7.01,True,2020-02-23 20:14:07
38,Eco Food Bundle 6171,Food & Grocery,Snacks,301,165.77,93.89,12.44,True,2022-06-14 07:55:34
