return_id,order_id,order_item_id,product_id,customer_id,return_reason,return_status,refund_amount,created_at
1,1154525,2689100,5455,79866,Arrived too late,refunded,138.51,2021-07-14 11:36:53
2,1740978,4055605,541,1101,Changed my mind,refunded,156.41,2023-06-18 07:54:13
3,1062471,2474984,4327,11645,Defective or damaged,refunded,104.78,2023-10-05 19:16:50
4,1375921,3205965,3627,92929,Changed my mind,refunded,124.32,2020-12-08 05:42:43
5,843824,1965822,8117,20455,Changed my mind,requested,61.55,2022-04-06 06:58:18
6,24239,56742,9770,66041,Not as described,refunded,120.87,2023-11-07 18:23:18
7,947990,2208405,260,55335,Wrong item received,refunded,42.29,2023-05-01 12:57:59
8,1704634,3970701,4148,49566,Defective or damaged,refunded,147.59,2020-08-26 13:17:56
9,627849,1462399,7682,63600,Better price found elsewhere,refunded,84.23,2022-03-04 16:58:07
10,1137587,2649752,6343,87956,Wrong item received,refunded,21.67,2021-07-08 05:19:23
11,925630,2156166,6477,75093,Not as described,received,40.66,2023-08-20 05:23:00
12,556823,1296646,7169,82308,Not as described,refunded,30.53,2023-01-15 18:01:19
13,14053,32576,4966,51335,Not as described,refunded,56.13,2020-07-30 01:34:45
14,321036,748482,8176,6237,Defective or damaged,refunded,89.94,2023-06-29 23:20:02
15,335815,782773,3263,21275,Changed my mind,refunded,96.31,2019-09-12 07:01:14
16,73263,170978,5130,78542,Item no longer needed,rejected,22.11,2019-12-08 16:09:52
17,1844144,4296349,5592,60861,Changed my mind,refunded,113.74,2019-12-20 08:32:25
18,302233,704616,7551,97238,Better price found elsewhere,refunded,40.95,2022-07-17 08:17:30
19,1380561,3216625,420,1579,Defective or damaged,refunded,25.6,2023-05-21 00:32:43
20,486917,1133956,1634,51257,Not as described,refunded,172.85,2022-10-27 03:45:22
21,1942137,4524574,5610,21052,Quality not as expected,approved,91.56,2022-10-29 21:21:43
22,1155839,2692122,4516,57142,Defective or damaged,approved,29.0,2021-11-08 23:19:37
23,318322,742288,1013,59125,Defective or damaged,approved,78.1,2019-01-18 18:32:37
24,120174,280083,8204,26841,Wrong item received,refunded,509.81,2020-01-26 21:14:31
25,536217,1248827,7813,65877,Changed my mind,refunded,13.72,2023-02-10 21:43:25
26,1034464,2409980,8962,99635,Item no longer needed,refunded,40.57,2019-05-01 22:50:44
27,588627,1370997,8004,49159,Defective or damaged,refunded,211.9,2023-01-04 00:48:25
28,125867,293368,356,63535,Item no longer needed,refunded,134.46,2023-09-15 07:40:41
29,490493,1142228,84,96310,Not as described,refunded,218.98,2023-06-04 21:27:14
30,1347844,3140417,9290,81922,Defective or damaged,received,19.66,2023-03-13 06:30:52
31,1861393,4336849,9447,3202,Changed my mind,refunded,6.99,2021-11-22 05:30:18
32,778934,1814478,9403,13853,Changed my mind,refunded,25.35,2021-12-25 15:32:45
33,975606,2272751,7553,34069,Not as described,refunded,75.94,2021-07-17 09:27:59
34,1436440,3346318,7695,35663,Not as described,refunded,32.57,2022-06-07 22:55:26
35,1357192,3162411,7294,59809,Better price found elsewhere,refunded,163.06,2021-12-04 23:53:31
36,253195,589927,8962,50939,Defective or damaged,received,174.79,2021-04-13 08:33:53
37,398493,928840,9624,65135,Item no longer needed,rejected,9.31,2023-06-27 02:45:16
